# i	 t	 x_true	 y_clipped	 x_declipped	 clipped_flag
552	0.552552552552553	-0.996786440157034	-0.8	-0.99662623159105	1
553	0.553553553553554	-0.993774928005425	-0.8	-0.993621265070028	1
554	0.554554554554555	-0.989780715723783	-0.8	-0.989635596595357	1
555	0.555555555555556	-0.984807753012208	-0.8	-0.984672266897792	1
556	0.556556556556557	-0.978860957413862	-0.8	-0.978736662924282	1
557	0.557557557557558	-0.971946209452234	-0.8	-0.971833689196773	1
558	0.558558558558559	-0.964070346816152	-0.8	-0.963970597474284	1
559	0.55955955955956	-0.955241157598286	-0.8	-0.955154157749194	1
560	0.560560560560561	-0.945467372593863	-0.8	-0.945393488271833	1
561	0.561561561561562	-0.934758656667151	-0.8	-0.934697226184254	1
562	0.562562562562563	-0.923125599194313	-0.8	-0.923076357907335	1
563	0.563563563563564	-0.910579703592036	-0.8	-0.910541389412046	1
564	0.564564564564565	-0.897133375942313	-0.8	-0.897105176969055	1
565	0.565565565565566	-0.88279991272462	-0.8	-0.882780097057486	1
566	0.566566566566567	-0.867593487667602	-0.8	-0.867580877477037	1
567	0.567567567567568	-0.851529137733313	-0.8	-0.851521766894228	1
568	0.568568568568569	-0.834622748247818	-0.8	-0.83461936631703	1
569	0.56956956956957	-0.816891037192905	-0.8	-0.816889798278595	1
570	0.570570570570571	-0.798351538674406	-0.798351538674406	-0.798351538674406	0
571	0.571571571571572	-0.779022585583492	-0.779022585583492	-0.779022585583492	0
572	0.572572572572573	-0.758923291468089	-0.758923291468089	-0.758923291468089	0
573	0.573573573573574	-0.73807353163234	-0.73807353163234	-0.73807353163234	0
574	0.574574574574575	-0.716493923482783	-0.716493923482783	-0.716493923482783	0
575	0.575575575575576	-0.694205806140723	-0.694205806140723	-0.694205806140723	0
576	0.576576576576577	-0.671231219340904	-0.671231219340904	-0.671231219340904	0
577	0.577577577577578	-0.647592881637394	-0.647592881637394	-0.647592881637394	0
578	0.578578578578579	-0.623314167938218	-0.623314167938218	-0.623314167938218	0
579	0.57957957957958	-0.598419086390927	-0.598419086390927	-0.598419086390927	0
580	0.580580580580581	-0.572932254642021	-0.572932254642021	-0.572932254642021	0
581	0.581581581581582	-0.546878875493627	-0.546878875493627	-0.546878875493627	0
582	0.582582582582583	-0.52028471198158	-0.52028471198158	-0.52028471198158	0
583	0.583583583583584	-0.493176061899476	-0.493176061899476	-0.493176061899476	0
584	0.584584584584585	-0.465579731793957	-0.465579731793957	-0.465579731793957	0
585	0.585585585585586	-0.437523010456906	-0.437523010456906	-0.437523010456906	0
586	0.586586586586587	-0.409033641940746	-0.409033641940746	-0.409033641940746	0
587	0.587587587587588	-0.380139798123598	-0.380139798123598	-0.380139798123598	0
588	0.588588588588589	-0.350870050851333	-0.350870050851333	-0.350870050851333	0
589	0.58958958958959	-0.321253343684144	-0.321253343684144	-0.321253343684144	0
590	0.590590590590591	-0.291318963275546	-0.291318963275546	-0.291318963275546	0
591	0.591591591591592	-0.261096510412088	-0.261096510412088	-0.261096510412088	0
592	0.592592592592593	-0.230615870742442	-0.230615870742442	-0.230615870742442	0
593	0.593593593593594	-0.199907185224808	-0.199907185224808	-0.199907185224808	0
594	0.594594594594595	-0.16900082032185	-0.16900082032185	-0.16900082032185	0
595	0.595595595595596	-0.137927337972653	-0.137927337972653	-0.137927337972653	0
596	0.596596596596597	-0.106717465371359	-0.106717465371359	-0.106717465371359	0
597	0.597597597597598	-0.0754020645824037	-0.0754020645824037	-0.0754020645824037	0
598	0.598598598598599	-0.0440121020223817	-0.0440121020223817	-0.0440121020223817	0
599	0.5995995995996	-0.0125786178387391	-0.0125786178387391	-0.0125786178387391	0
600	0.600600600600601	0.0188673047844676	0.0188673047844676	0.0188673047844676	0
