# i	 t	 x_true	 y_clipped	 x_declipped	 clipped_flag
483	0.144972486243122	-0.899558112312549	-0.7	-0.897558794447648	1
484	0.145272636318159	-0.915437056370838	-0.7	-0.913030816538281	1
485	0.145572786393197	-0.930751095172963	-0.7	-0.927901153869551	1
486	0.145872936468234	-0.94547957112299	-0.7	-0.942159715121932	1
487	0.146173086543272	-0.959602939695587	-0.7	-0.955783514173956	1
488	0.146473236618309	-0.973102810426536	-0.7	-0.968765001977696	1
489	0.146773386693347	-0.985961985338777	-0.7	-0.981084577692342	1
490	0.147073536768384	-0.99816449471977	-0.7	-0.992737132439583	1
491	0.147373686843422	-1.00969563017182	-0.7	-1.00370634855728	1
492	0.147673836918459	-1.02054197486326	-0.7	-1.01398945523476	1
493	0.147973986993497	-1.03069143091445	-0.7	-1.02357331588657	1
494	0.148274137068534	-1.04013324385908	-0.7	-1.03245739566767	1
495	0.148574287143572	-1.04885802412791	-0.7	-1.04063163696733	1
496	0.148874437218609	-1.05685776550833	-0.7	-1.04809763880417	1
497	0.149174587293647	-1.06412586054037	-0.7	-1.05484832044016	1
498	0.149474737368684	-1.07065711281627	-0.7	-1.06088731265562	1
499	0.149774887443722	-1.0764477461578	-0.7	-1.06621040948325	1
500	0.150075037518759	-1.08149541065236	-0.7	-1.07082317136306	1
501	0.150375187593797	-1.08579918553607	-0.7	-1.0747241649965	1
502	0.150675337668834	-1.08935957891886	-0.7	-1.07792077838129	1
503	0.150975487743872	-1.09217852435379	-0.7	-1.08041424878565	1
504	0.151275637818909	-1.09425937425975	-0.7	-1.08221368966302	1
505	0.151575787893947	-1.09560689021372	-0.7	-1.08332290674639	1
506	0.151875937968984	-1.09622723013583	-0.7	-1.08375263684296	1
507	0.152176088044022	-1.09612793239707	-0.7	-1.08350915204852	1
508	0.15247623811906	-1.09531789688681	-0.7	-1.082604710422	1
509	0.152776388194097	-1.09380736308359	-0.7	-1.08104794832002	1
510	0.153076538269135	-1.09160788517962	-0.7	-1.07885254295129	1
511	0.153376688344172	-1.08873230431567	-0.7	-1.07602939283124	1
512	0.15367683841921	-1.08519471798986	-0.7	-1.07259349221636	1
513	0.153976988494247	-1.08101044670967	-0.7	-1.06855789967895	1
514	0.154277138569285	-1.07619599796291	-0.7	-1.06393882442129	1
515	0.154577288644322	-1.07076902758923	-0.7	-1.05875138297054	1
516	0.15487743871936	-1.06474829863949	-0.7	-1.0530128973728	1
517	0.155177588794397	-1.05815363781596	-0.7	-1.0467404400081	1
518	0.155477738869435	-1.05100588959142	-0.7	-1.03995234366437	1
519	0.155777888944472	-1.04332686811084	-0.7	-1.03266753447254	1
520	0.15607803901951	-1.03513930698362	-0.7	-1.0249052538604	1
521	0.156378189094547	-1.02646680707951	-0.7	-1.01668617960777	1
522	0.156678339169585	-1.01733378244552	-0.7	-1.0080303596803	1
523	0.156978489244622	-1.00776540446519	-0.7	-0.998960121404745	1
524	0.15727863931966	-0.99778754438575	-0.7	-0.989496217182638	1
525	0.157578789394697	-0.987426714341879	-0.7	-0.979662521785661	1
526	0.157878939469735	-0.976710007008468	-0.7	-0.96948038994925	1
527	0.158179089544772	-0.965665034017502	-0.7	-0.958975141788041	1
528	0.15847923961981	-0.954319863277016	-0.7	-0.948168632269381	1
529	0.158779389694847	-0.942702955332451	-0.7	-0.937087524748875	1
530	0.159079539769885	-0.930843098912759	-0.7	-0.925754072323799	1
531	0.159379689844922	-0.918769345805453	-0.7	-0.914196179488742	1
532	0.15967983991996	-0.906510945206132	-0.7	-0.902436395368924	1
533	0.159979989994998	-0.894097277689221	-0.7	-0.890503763495933	1
534	0.160280140070035	-0.881557788947379	-0.7	-0.878421026920951	1
535	0.160580290145073	-0.868921923447491	-0.7	-0.866218266110582	1
536	0.16088044022011	-0.856219058151376	-0.7	-0.853918315939982	1
537	0.161180590295148	-0.843478436448959	-0.7	-0.841552191708786	1
538	0.161480740370185	-0.830729102451333	-0.7	-0.829142718014143	1
539	0.161780890445223	-0.817999835790086	-0.7	-0.816721742886734	1
540	0.16208104052026	-0.805319087068223	-0.7	-0.804311978543716	1
541	0.162381190595298	-0.792714914106418	-0.7	-0.791946003644832	1
542	0.162681340670335	-0.780214919126516	-0.7	-0.77964631592526	1
543	0.162981490745373	-0.767846187012099	-0.7	-0.767446122571824	1
544	0.16328164082041	-0.755635224783412	-0.7	-0.755367604735739	1
545	0.163581790895448	-0.743607902421229	-0.7	-0.743444496028923	1
546	0.163881940970485	-0.73178939517116	-0.7	-0.731698558916645	1
547	0.164182091045523	-0.72020412745654	-0.7	-0.720163951333933	1
